ds,sls
10-Jun-2017,4865743.88
11-Jun-2017,3940620.35
12-Jun-2017,3611547.68
13-Jun-2017,3665686.60
14-Jun-2017,6569927.92
15-Jun-2017,6134600.80
16-Jun-2017,7144994.45
17-Jun-2017,7286367.20
18-Jun-2017,5325675.28
19-Jun-2017,4601380.86
20-Jun-2017,5222479.08
21-Jun-2017,3878041.34
22-Jun-2017,4011509.38
23-Jun-2017,4677755.55
24-Jun-2017,4649575.31
25-Jun-2017,3729683.03
26-Jun-2017,3523336.20
27-Jun-2017,3838019.28
28-Jun-2017,4939936.93
29-Jun-2017,5348080.79
30-Jun-2017,6984091.51
1-Jul-2017,6393976.46
2-Jul-2017,4955914.16
3-Jul-2017,5042833.69
4-Jul-2017,3166940.68
5-Jul-2017,3894482.50
6-Jul-2017,4109078.60
7-Jul-2017,4642524.18
8-Jul-2017,4506608.61
9-Jul-2017,3753025.13
10-Jul-2017,3536704.25
11-Jul-2017,3777600.90
12-Jul-2017,3728875.08
13-Jul-2017,4394411.37
14-Jul-2017,6895171.90
15-Jul-2017,6473498.83
16-Jul-2017,5077739.76
17-Jul-2017,4412468.26
18-Jul-2017,4527035.30
19-Jul-2017,4686568.07
20-Jul-2017,5352485.83
21-Jul-2017,4739289.03
22-Jul-2017,4525436.14
23-Jul-2017,3691227.48
24-Jul-2017,3444918.83
25-Jul-2017,3781781.27
26-Jul-2017,4099744.05
27-Jul-2017,4418242.65
28-Jul-2017,5396303.01
29-Jul-2017,5646484.81
30-Jul-2017,4441389.69
31-Jul-2017,4068907.96
1-Aug-2017,4593804.14
2-Aug-2017,4535058.74
3-Aug-2017,4779526.20
4-Aug-2017,5150439.60
5-Aug-2017,5316194.19
6-Aug-2017,4205233.03
7-Aug-2017,3725650.39
8-Aug-2017,3870062.50
9-Aug-2017,4108107.90
10-Aug-2017,4333351.79
11-Aug-2017,7471117.12
12-Aug-2017,7331916.45
13-Aug-2017,5614192.45
14-Aug-2017,4894987.12
15-Aug-2017,5308715.91
16-Aug-2017,5363966.27
17-Aug-2017,5901210.28
18-Aug-2017,5359209.52
