,ds,t,trend,seasonal_lower,seasonal_upper,trend_lower,trend_upper,yhat_lower,yhat_upper,holiday,holiday_lower,holiday_upper,scratch,scratch_lower,scratch_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,seasonal,yhat
258,2016-10-15,0.44869565217391305,6.658144314858455,0.11818353408288393,0.2304473249980372,6.608485281288967,6.7099978785036685,6.746176389773435,6.917244474647783,0.0,0.0,0.0,0.11933888199165117,0.0971128470412777,0.14024700495929332,0.08422988706945182,0.07582300828091665,0.0928978328824322,-0.028353828624446166,-0.0831997799554616,0.02537360289317844,0.17521494043665684,6.833359255295112
259,2016-10-16,0.4504347826086956,6.658017906139039,0.0071758221201498424,0.12254100462138631,6.609802256705254,6.709191914056375,6.646452428974068,6.808569691763213,0.0,0.0,0.0,0.12217499182898292,0.09915794674779287,0.14428320589326338,-0.02628257225140762,-0.03395655609525055,-0.01891883044868827,-0.029193027601382038,-0.08424062234550901,0.02368161187184029,0.06669939197619326,6.724717298115233
260,2016-10-17,0.45217391304347826,6.657891497419625,-0.08193144697662655,0.03720977881058294,6.610790094420668,6.709007250765079,6.550386497015338,6.717512878396001,0.0,0.0,0.0,0.08822873607619476,0.06816925151442202,0.10737184366208588,-0.0798055025354506,-0.08838855692859728,-0.07177103443821889,-0.02988281964669725,-0.08500561751819749,0.020312347038277914,-0.021459586105953096,6.636431911313672
261,2016-10-18,0.4539130434782609,6.657765088700209,-0.05257970698918349,0.07049509152756495,6.610883864116229,6.708945853645034,6.583831450289815,6.750423728694664,0.0,0.0,0.0,0.09386001702713452,0.07293102527366493,0.11714742593978152,-0.053765114154931376,-0.061787113179239295,-0.0453662132519505,-0.03039930578944537,-0.08505556486975341,0.0190601291324199,0.009695597082757773,6.6674606857829675
262,2016-10-19,0.45565217391304347,6.657638679980794,-0.048859530403569294,0.06344978193552278,6.610899835086041,6.707543913868424,6.582202084827164,6.742646591462781,0.0,0.0,0.0,0.027874580565126157,0.008432657766434312,0.04767487455311615,0.008821746460687672,0.0006252680137536655,0.017501702357148985,-0.030719848210387035,-0.08504763378992491,0.01772780530888091,0.005976478815426796,6.663615158796221
263,2016-10-20,0.4573913043478261,6.657512271261379,-0.02897993237909597,0.08423280577617738,6.61006601286852,6.70715096020674,6.600102854706485,6.7697960813527684,0.0,0.0,0.0,0.06579213967903033,0.04469811649305753,0.08752450785113361,-0.0053160202816215614,-0.014348843824389598,0.0036386771332269905,-0.030823597130443324,-0.08533750652549871,0.01840272918116349,0.029652522266965443,6.6871647935283445
264,2016-10-21,0.4591304347826087,6.657385862541965,-0.05126760714291064,0.06061151225741283,6.609871470951487,6.707252352021486,6.575958087371215,6.74870109148575,0.0,0.0,0.0,-0.032265906373718685,-0.056518845024469216,-0.006970423682951587,0.07211757569337479,0.06406464218382951,0.08003422296906366,-0.030691996800505113,-0.08588011757835404,0.01862130810302284,0.009159672519150994,6.666545535061116
265,2016-10-22,0.4608695652173913,6.657259453822549,-0.0019858202175697093,0.10513641591233301,6.610615260329857,6.707258653812502,6.631276413703053,6.795134548979516,0.0,0.0,0.0,0.0,0.0,0.0,0.08422988706963609,0.0758230082811545,0.09289783288265581,-0.03030925421638488,-0.08515832044994373,0.019622375670628703,0.053920632853251216,6.7111800866758005
266,2016-10-23,0.46260869565217394,6.657133045103134,-0.1128581520972309,-0.007566418968821734,6.611141635623836,6.70713712456713,6.5161583435675325,6.6796557442863485,0.0,0.0,0.0,0.0,0.0,0.0,-0.02628257225143188,-0.03395655609526975,-0.018918830448703752,-0.02966275451607143,-0.08585920925912517,0.020824168846966935,-0.055945326767503314,6.6011877183356304
267,2016-10-24,0.4643478260869565,6.657006636383719,-0.16387316104475794,-0.05865948821923764,6.611200225824365,6.7069589486921535,6.473761754828244,6.625646939769158,0.0,0.0,0.0,0.0,0.0,0.0,-0.07980550253543632,-0.08838855692858756,-0.07177103443821008,-0.028743407907296747,-0.08579292864109,0.021457319025865184,-0.10854891044273307,6.548457725940986
268,2016-10-25,0.46608695652173915,6.6568802276643035,-0.13686768030245489,-0.03184911536380073,6.6110467705758085,6.705962801916234,6.493658339921692,6.66426828148814,0.0,0.0,0.0,0.0,0.0,0.0,-0.05376511415488753,-0.06178711317921123,-0.04536621325190583,-0.02754591441189425,-0.08156577144135727,0.021578659290077483,-0.08131102856678178,6.575569199097521
269,2016-10-26,0.4678260869565217,6.656753818944888,-0.07278646867276481,0.033701147141822714,6.608976492996771,6.706191793366312,6.560856619944428,6.714634354532674,0.0,0.0,0.0,0.0,0.0,0.0,0.008821746460662723,0.000625268013732852,0.017501702357122177,-0.026068934675946388,-0.0786810800623655,0.02291382891995591,-0.017247188215283663,6.6395066307296045
270,2016-10-27,0.46956521739130436,6.6566274102254726,-0.08355774164608451,0.020035932709268026,6.6085608256390405,6.706673810358096,6.5431041261441765,6.707628733482101,0.0,0.0,0.0,0.0,0.0,0.0,-0.00531602028170902,-0.014348843824503646,0.0036386771331421764,-0.024315157536723746,-0.07710891154360539,0.024744450793048038,-0.029631177818432768,6.6269962324070395
271,2016-10-28,0.47130434782608693,6.656501001506058,-0.005195923547879395,0.1028105158445146,6.607507629183319,6.706578620225707,6.630572225382031,6.793383893319059,0.0,0.0,0.0,0.0,0.0,0.0,0.07211757569332139,0.06406464218377717,0.08003422296898516,-0.022291257897206655,-0.07615540237903848,0.02677060582592253,0.04982631779611474,6.706327319302173
